LAMMPS Description 
 
	 600 atoms 
 	 0 bonds 
 	 0 angles 
 	 0 dihedrals 
 	 0 impropers 

 	 3 atom types 
 	 2 bond types 
 	 0 angle types 
 	 0 dihedral types 
 	 0 improper types 

 	 -312.5 312.5 xlo xhi
 	-312.5 312.5 ylo yhi 
 	-0.05 0.05 zlo zhi

Masses 
 
	 1 1.0000 
	 2 1.0000 
	 3 1.0000 

Atoms 
 
	 1 1 1 0 -175.0 -150.0 0.0 0 0 0 
	 2 2 1 0 75.0 -62.5 0.0 0 0 0 
	 3 3 1 0 25.0 100.0 0.0 0 0 0 
	 4 4 1 0 62.5 150.0 0.0 0 0 0 
	 5 5 1 0 0.0 -37.5 0.0 0 0 0 
	 6 6 1 0 -275.0 150.0 0.0 0 0 0 
	 7 7 1 0 287.5 12.5 0.0 0 0 0 
	 8 8 1 0 -112.5 100.0 0.0 0 0 0 
	 9 9 1 0 150.0 187.5 0.0 0 0 0 
	 10 10 1 0 37.5 -12.5 0.0 0 0 0 
	 11 11 1 0 -37.5 -287.5 0.0 0 0 0 
	 12 12 1 0 -25.0 0.0 0.0 0 0 0 
	 13 13 1 0 75.0 175.0 0.0 0 0 0 
	 14 14 1 0 -212.5 -312.5 0.0 0 0 0 
	 15 15 1 0 -125.0 62.5 0.0 0 0 0 
	 16 16 1 0 -150.0 62.5 0.0 0 0 0 
	 17 17 1 0 237.5 87.5 0.0 0 0 0 
	 18 18 1 0 300.0 -237.5 0.0 0 0 0 
	 19 19 1 0 150.0 -300.0 0.0 0 0 0 
	 20 20 1 0 125.0 175.0 0.0 0 0 0 
	 21 21 1 0 -162.5 287.5 0.0 0 0 0 
	 22 22 1 0 -12.5 -25.0 0.0 0 0 0 
	 23 23 1 0 -150.0 -75.0 0.0 0 0 0 
	 24 24 1 0 -225.0 -25.0 0.0 0 0 0 
	 25 25 1 0 -225.0 -37.5 0.0 0 0 0 
	 26 26 1 0 187.5 -50.0 0.0 0 0 0 
	 27 27 1 0 137.5 300.0 0.0 0 0 0 
	 28 28 1 0 87.5 262.5 0.0 0 0 0 
	 29 29 1 0 -62.5 50.0 0.0 0 0 0 
	 30 30 1 0 -262.5 -287.5 0.0 0 0 0 
	 31 31 1 0 -175.0 -287.5 0.0 0 0 0 
	 32 32 1 0 100.0 -37.5 0.0 0 0 0 
	 33 33 1 0 0.0 -112.5 0.0 0 0 0 
	 34 34 1 0 87.5 -37.5 0.0 0 0 0 
	 35 35 1 0 25.0 -287.5 0.0 0 0 0 
	 36 36 1 0 12.5 200.0 0.0 0 0 0 
	 37 37 1 0 -250.0 -112.5 0.0 0 0 0 
	 38 38 1 0 -162.5 237.5 0.0 0 0 0 
	 39 39 1 0 12.5 -287.5 0.0 0 0 0 
	 40 40 1 0 187.5 -125.0 0.0 0 0 0 
	 41 41 1 0 -100.0 237.5 0.0 0 0 0 
	 42 42 1 0 0.0 -100.0 0.0 0 0 0 
	 43 43 1 0 287.5 -287.5 0.0 0 0 0 
	 44 44 1 0 -37.5 -237.5 0.0 0 0 0 
	 45 45 1 0 -125.0 237.5 0.0 0 0 0 
	 46 46 1 0 -262.5 -300.0 0.0 0 0 0 
	 47 47 1 0 150.0 -150.0 0.0 0 0 0 
